Date,AAPL,MSFT,NVDA,VOO,GLD,IEF,BTC-USD
2015-01-02,24.192604064941406,39.681739807128906,0.4824229478836059,154.77674865722656,114.08000183105467,82.31922149658203,315.0320129394531
2015-01-05,23.51105499267578,39.316837310791016,0.4742748737335205,152.05746459960938,115.8000030517578,82.82149505615234,274.4739990234375
2015-01-06,23.513273239135746,38.7397689819336,0.459895521402359,150.56228637695312,117.12000274658205,83.37787628173828,286.1889953613281
2015-01-07,23.842981338500977,39.23196029663086,0.4586973190307617,152.44358825683594,116.43000030517578,83.36241149902344,294.3370056152344
2015-01-08,24.759090423583984,40.3860969543457,0.4759524762630462,155.1217803955078,115.94000244140624,83.02245330810547,283.3489990234375
2015-01-09,24.78563499450684,40.04664993286133,0.4778696298599243,153.81553649902344,117.26000213623048,83.43199920654297,290.4079895019531
2015-01-12,24.17490768432617,39.54595947265625,0.4718782603740692,152.6736297607422,118.55999755859376,83.7256088256836,267.7959899902344
2015-01-13,24.389543533325195,39.34230041503906,0.4711592495441437,152.27105712890625,118.16000366210938,83.8028564453125,225.86099243164065
2015-01-14,24.29660415649414,39.00282669067383,0.473076581954956,151.37559509277344,117.97000122070312,84.18923950195312,178.10299682617188
2015-01-15,23.637182235717773,38.59550094604492,0.4697213470935821,149.96250915527344,120.94000244140624,84.9079360961914,209.843994140625
2015-01-16,23.453527450561523,39.24045181274414,0.4783490300178528,151.81924438476562,122.5199966430664,84.2820053100586,208.0970001220703
2015-01-20,24.057621002197266,39.367767333984375,0.4797868132591247,152.19712829589844,124.1999969482422,84.47515869140625,211.31500244140625
2015-01-21,24.241283416748047,38.96888732910156,0.4864971339702606,152.99403381347656,124.2300033569336,84.07337951660156,226.89700317382807
2015-01-22,24.87193298339844,39.99573516845703,0.4948847591876983,155.33531188964844,125.2300033569336,83.86473083496094,233.406005859375
2015-01-23,25.00027847290039,40.03816604614258,0.4963230192661285,154.48097229003906,124.2300033569336,84.41336059570312,232.8789978027344
2015-01-26,25.02682876586914,39.893890380859375,0.4941659867763519,154.78489685058594,122.98999786376952,84.22014617919922,273.4729919433594
2015-01-27,24.15056037902832,36.20237731933594,0.4704403281211853,152.75575256347656,124.4000015258789,84.33609771728516,263.4750061035156
2015-01-28,25.51585960388184,34.95490264892578,0.4627713561058044,150.7429962158203,123.41999816894533,84.98515319824219,233.9149932861328
2015-01-29,26.310258865356445,35.6507682800293,0.4740350246429443,152.20538330078125,120.76000213623048,84.6838150024414,233.51300048828125
2015-01-30,25.925233840942383,34.284481048583984,0.4601351618766784,150.33226013183594,123.4499969482422,85.42562866210938,226.4250030517578
2015-02-02,26.250511169433597,35.03127670288086,0.4702006876468658,152.05746459960938,122.41999816894533,85.31883239746094,238.22900390625
2015-02-03,26.254941940307617,35.302833557128906,0.4819436073303222,154.27561950683594,121.0500030517578,84.59895324707031,227.26800537109372
2015-02-04,26.456298828125,35.50651168823242,0.4831419289112091,153.74978637695312,121.58000183105467,84.73831176757812,226.85299682617188
2015-02-05,26.645132064819336,36.024166107177734,0.4910506010055542,155.3107452392578,121.79000091552734,84.42874908447266,217.11099243164065
2015-02-06,26.42075729370117,35.99022674560547,0.4888935685157776,154.8753204345703,118.63999938964844,83.48444366455078,222.26600646972656
2015-02-09,26.596263885498047,35.94779586791992,0.4884142577648163,154.1687774658203,119.16999816894533,83.44571685791016,220.1100006103516
2015-02-10,27.107208251953125,36.151458740234375,0.5020745992660522,155.8118896484375,118.47000122070312,83.23672485351562,219.8390045166016
2015-02-11,27.742578506469727,35.96475982666016,0.4987195134162903,155.9186248779297,117.06999969482422,83.2057876586914,219.18499755859372
2015-02-12,28.09358024597168,36.56728744506836,0.5344278812408447,157.36456298828125,117.33999633789062,83.23672485351562,221.76400756835935
2015-02-13,28.231311798095703,37.22920989990234,0.5346673727035522,158.05467224121094,117.9800033569336,82.95808410644531,235.427001953125
2015-02-17,28.397932052612305,37.24630355834961,0.5363453030586243,158.30931091308594,116.01000213623048,82.36985778808594,243.6100006103516
2015-02-18,28.595643997192383,37.20356369018555,0.5301139950752258,158.34219360351562,116.33999633789062,82.76457214355469,236.3260040283203
2015-02-19,28.535667419433597,37.17794418334961,0.5315518975257874,158.2353973388672,115.94000244140624,82.55563354492188,240.2830047607422
2015-02-20,28.768918991088867,37.48561096191406,0.5353865027427673,159.19656372070312,115.27999877929688,82.50921630859375,243.7790069580078
2015-02-23,29.54646110534668,37.73346328735352,0.5310729146003723,159.1554718017578,115.43000030517578,82.88843536376953,238.8919982910156
2015-02-24,29.362079620361328,37.68217086791992,0.5367260575294495,159.6237335205078,115.26000213623048,83.4379653930664,238.7350006103516
2015-02-25,28.61119842529297,37.59672164916992,0.5326365232467651,159.4512481689453,115.6999969482422,83.51539611816406,237.47000122070312
2015-02-26,28.973299026489254,37.656551361083984,0.5340800285339355,159.2705078125,116.06999969482422,83.02003479003906,236.42599487304688
2015-02-27,28.53788948059082,37.47705459594727,0.5307118892669678,158.7200927734375,116.16000366210938,83.3141098022461,253.8280029296875
2015-03-02,28.67784309387207,37.502708435058594,0.5437031984329224,159.76339721679688,115.68000030517578,82.69397735595703,275.6700134277344
2015-03-03,28.73782539367676,36.98988723754883,0.5335988998413086,159.08152770996094,115.47000122070312,82.51569366455078,281.7019958496094
2015-03-04,28.55566024780273,36.8018913269043,0.5396130681037903,158.41615295410156,115.11000061035156,82.57768249511719,273.0920104980469
2015-03-05,28.082469940185547,36.844608306884766,0.5499580502510071,158.58865356445312,115.0,82.62421417236328,276.1780090332031
2015-03-06,28.12467765808105,36.20361709594727,0.5425000190734863,156.34584045410156,111.86000061035156,81.77922058105469,272.7229919433594
2015-03-09,28.244638442993164,36.62240219116211,0.5439436435699463,157.01129150390625,111.97000122070312,82.1590347290039,289.60699462890625
2015-03-10,27.66037368774414,35.92158126831055,0.5533258318901062,154.43170166015625,111.41999816894533,82.50788879394531,291.760009765625
2015-03-11,27.15608024597168,35.87884521484375,0.5504389405250549,154.07025146484375,110.75,82.65520477294922,296.3789978027344
2015-03-12,27.647045135498047,35.058353424072266,0.545386791229248,156.05833435058594,110.72000122070312,82.73274993896484,294.35400390625
2015-03-13,27.455989837646484,35.36604309082031,0.5461087822914124,155.10531616210938,110.87999725341795,82.60870361328125,285.3370056152344
2015-03-16,27.75812530517578,35.51988983154297,0.5526043772697449,157.22491455078125,110.80999755859376,82.89550018310547,290.5929870605469
2015-03-17,28.2224235534668,35.639549255371094,0.5593403577804565,156.69091796875,110.20999908447266,83.06602478027344,285.5050048828125
2015-03-18,28.54010581970215,36.32326126098633,0.5501986742019653,158.55580139160156,112.37000274658205,84.01956939697266,256.29901123046875
2015-03-19,28.324621200561523,36.1437873840332,0.5586186647415161,157.8246307373047,112.29000091552734,83.62421417236328,260.9280090332031
2015-03-20,27.969167709350582,36.64803695678711,0.5646333694458008,159.25408935546875,113.56999969482422,83.96532440185547,261.7489929199219
2015-03-23,28.260196685791016,36.63094711303711,0.5463494062423706,158.96836853027344,114.29000091552734,84.07386779785156,266.739990234375
2015-03-24,28.14467430114746,36.66513442993164,0.5388913750648499,158.04354858398438,114.56999969482422,84.3297119140625,245.59500122070312
2015-03-25,27.40933990478516,35.434417724609375,0.5061730146408081,155.73980712890625,114.7300033569336,83.96532440185547,246.19700622558597
2015-03-26,27.600399017333984,35.22074890136719,0.5044892430305481,155.35171508789062,115.4800033569336,83.49246215820312,248.5319976806641
2015-03-27,27.38046264648437,35.01563262939453,0.5143526792526245,155.67369079589844,115.05999755859376,83.8180160522461,247.0290069580078
